timestamp,player1_symbol,player2_symbol,first_player,winner,winning_first_move
2023-12-05 21:22:56,X,O,X,Player X,
2023-12-05 21:24:05,X,O,X,Player X,
2023-12-05 21:24:08,X,O,X,Draw,
2023-12-05 21:24:50,X,O,X,Player X,
2023-12-05 21:25:06,X,O,X,Player X,
2023-12-05 21:26:51,X,O,X,Player X,
2023-12-05 21:26:55,X,O,X,Draw,
2023-12-05 21:26:58,X,O,X,Player X,
2023-12-05 21:27:09,X,O,X,Player O,
2023-12-05 21:27:35,X,O,X,Player X,
2023-12-05 21:27:41,X,O,X,Player O,
2023-12-05 21:28:01,X,O,X,Player O,
2023-12-05 21:28:13,X,O,X,Player X,
2023-12-05 21:28:18,X,O,X,Player X,
2023-12-05 21:28:50,X,O,X,Player X,
2023-12-05 21:28:55,X,O,X,Player X,
2023-12-05 21:29:24,X,O,X,Player X,
2023-12-05 21:29:31,X,O,X,Draw,
2023-12-05 21:29:40,X,O,X,Draw,
2023-12-05 21:30:14,X,O,X,Player O,
2023-12-05 21:30:31,X,O,X,Player X,
2023-12-05 21:30:35,X,O,X,Player X,
2023-12-05 21:30:39,X,O,X,Player X,
2023-12-05 21:30:42,X,O,X,Player X,
2023-12-05 21:31:18,X,O,X,Player O,
2023-12-05 21:31:22,X,O,X,Player O,
2023-12-05 21:31:25,X,O,X,Player X,
2023-12-05 21:31:50,X,O,X,Player O,
2023-12-05 21:32:23,X,O,X,Player X,
2023-12-05 21:32:27,X,O,X,Player O,
2023-12-05 21:32:31,X,O,X,Player O,
