game_id,move_id,move_start_time,duration,move_end_time,move,player,winner
1701237402.0,1,1701237402.0,0.000307322,1701237402.0,"(0, 2)",X,O
1701237402.0,2,1701237402.0,0.000118732,1701237402.0,"(2, 0)",O,O
1701237402.0,3,1701237402.0,5.13e-05,1701237402.0,"(2, 2)",X,O
1701237402.0,4,1701237402.0,4.67e-05,1701237402.0,"(1, 1)",O,O
1701237402.0,5,1701237402.0,4.72e-05,1701237402.0,"(0, 1)",X,O
1701237402.0,6,1701237402.0,5.2e-05,1701237402.0,"(1, 2)",O,O
1701237402.0,7,1701237402.0,4.67e-05,1701237402.0,"(2, 1)",X,O
1701237402.0,8,1701237402.0,4.6e-05,1701237402.0,"(1, 0)",O,O
1701237404.0,1,1701237404.0,0.000196934,1701237404.0,"(1, 0)",X,X
1701237404.0,2,1701237404.0,0.000118971,1701237404.0,"(0, 2)",O,X
1701237404.0,3,1701237404.0,5.22e-05,1701237404.0,"(1, 1)",X,X
1701237404.0,4,1701237404.0,4.79e-05,1701237404.0,"(1, 2)",O,X
1701237404.0,5,1701237404.0,5.79e-05,1701237404.0,"(0, 0)",X,X
1701237404.0,6,1701237404.0,5.2e-05,1701237404.0,"(2, 1)",O,X
1701237404.0,7,1701237404.0,5.1e-05,1701237404.0,"(2, 2)",X,X
1701237405.0,1,1701237405.0,0.000163078,1701237405.0,"(1, 1)",X,X
1701237405.0,2,1701237405.0,0.000122786,1701237405.0,"(0, 2)",O,X
1701237405.0,3,1701237405.0,5.13e-05,1701237405.0,"(2, 0)",X,X
1701237405.0,4,1701237405.0,4.67e-05,1701237405.0,"(2, 2)",O,X
1701237405.0,5,1701237405.0,4.63e-05,1701237405.0,"(1, 0)",X,X
1701237405.0,6,1701237405.0,4.67e-05,1701237405.0,"(0, 1)",O,X
1701237405.0,7,1701237405.0,4.41e-05,1701237405.0,"(0, 0)",X,X
1701237554.0,1,1701237554.0,4.536627054,1701237559.0,"(1, 0)",X,X
1701237554.0,2,1701237559.0,0.000167847,1701237559.0,"(2, 1)",O,X
1701237554.0,3,1701237559.0,5.230340242,1701237564.0,"(2, 0)",X,X
1701237554.0,4,1701237564.0,0.000286818,1701237564.0,"(2, 2)",O,X
1701237554.0,5,1701237564.0,4.682135105,1701237569.0,"(1, 1)",X,X
1701237554.0,6,1701237569.0,0.000226736,1701237569.0,"(0, 2)",O,X
1701237554.0,7,1701237569.0,3.615420341,1701237572.0,"(0, 0)",X,X
1701237618.0,1,1701237618.0,2.911085129,1701237621.0,"(1, 1)",X,X
1701237618.0,2,1701237621.0,5.474807978,1701237627.0,"(0, 0)",O,X
1701237618.0,3,1701237627.0,2.763422012,1701237630.0,"(0, 2)",X,X
1701237618.0,4,1701237630.0,5.290617943,1701237635.0,"(0, 1)",O,X
1701237618.0,5,1701237635.0,3.568372965,1701237638.0,"(2, 0)",X,X
1701237644.0,1,1701237644.0,0.000146866,1701237644.0,"(1, 1)",X,Draw
1701237644.0,2,1701237644.0,9.39e-05,1701237644.0,"(1, 0)",O,Draw
1701237644.0,3,1701237644.0,3.5e-05,1701237644.0,"(0, 0)",X,Draw
1701237644.0,4,1701237644.0,3.41e-05,1701237644.0,"(2, 2)",O,Draw
1701237644.0,5,1701237644.0,3.19e-05,1701237644.0,"(0, 2)",X,Draw
1701237644.0,6,1701237644.0,3.19e-05,1701237644.0,"(0, 1)",O,Draw
1701237644.0,7,1701237644.0,3.62e-05,1701237644.0,"(2, 1)",X,Draw
1701237644.0,8,1701237644.0,3.27e-05,1701237644.0,"(2, 0)",O,Draw
1701237644.0,9,1701237644.0,3.31e-05,1701237644.0,"(1, 2)",X,Draw
1701237648.0,1,1701237648.0,0.000230789,1701237648.0,"(2, 1)",X,Draw
1701237648.0,2,1701237648.0,0.000156164,1701237648.0,"(0, 1)",O,Draw
1701237648.0,3,1701237648.0,5.1e-05,1701237648.0,"(2, 2)",X,Draw
1701237648.0,4,1701237648.0,4.89e-05,1701237648.0,"(1, 2)",O,Draw
1701237648.0,5,1701237648.0,4.82e-05,1701237648.0,"(1, 0)",X,Draw
1701237648.0,6,1701237648.0,4.89e-05,1701237648.0,"(2, 0)",O,Draw
1701237648.0,7,1701237648.0,5.13e-05,1701237648.0,"(0, 2)",X,Draw
1701237648.0,8,1701237648.0,4.89e-05,1701237648.0,"(0, 0)",O,Draw
1701237648.0,9,1701237648.0,5.39e-05,1701237648.0,"(1, 1)",X,Draw
1701237652.0,1,1701237652.0,0.000144958,1701237652.0,"(1, 0)",X,O
1701237652.0,2,1701237652.0,0.000113726,1701237652.0,"(1, 1)",O,O
1701237652.0,3,1701237652.0,5.03e-05,1701237652.0,"(0, 2)",X,O
1701237652.0,4,1701237652.0,4.58e-05,1701237652.0,"(2, 2)",O,O
1701237652.0,5,1701237652.0,4.51e-05,1701237652.0,"(2, 1)",X,O
1701237652.0,6,1701237652.0,4.82e-05,1701237652.0,"(0, 0)",O,O
1701838502.149194,1,1701838502.149195,0.0001740455627441,1701838502.149369,"(0, 0)",X,X
1701838502.149194,2,1701838502.149369,0.0001039505004882,1701838502.149473,"(0, 1)",O,X
1701838502.149194,3,1701838502.149473,4.1961669921875e-05,1701838502.149515,"(1, 2)",X,X
1701838502.149194,4,1701838502.149515,3.790855407714844e-05,1701838502.1495528,"(1, 0)",O,X
1701838502.149194,5,1701838502.1495528,3.814697265625e-05,1701838502.149591,"(2, 2)",X,X
1701838502.149194,6,1701838502.149591,4.00543212890625e-05,1701838502.149631,"(1, 1)",O,X
1701838502.149194,7,1701838502.149631,3.695487976074219e-05,1701838502.149668,"(2, 1)",X,X
1701838502.149194,8,1701838502.149668,3.910064697265625e-05,1701838502.149707,"(2, 0)",O,X
1701838502.149194,9,1701838502.149707,3.600120544433594e-05,1701838502.149743,"(0, 2)",X,X
1701839400.389072,1,1701839400.3890738,0.0001909732818603,1701839400.3892648,"(1, 1)",X,O
1701839400.389072,2,1701839400.3892648,0.0001132488250732,1701839400.389378,"(2, 0)",O,O
1701839400.389072,3,1701839400.389378,2.789497375488281e-05,1701839400.389406,"(0, 0)",X,O
1701839400.389072,4,1701839400.389406,2.7179718017578125e-05,1701839400.3894331,"(2, 2)",O,O
1701839400.389072,5,1701839400.3894331,2.574920654296875e-05,1701839400.389459,"(0, 1)",X,O
1701839400.389072,6,1701839400.389459,2.5033950805664062e-05,1701839400.389484,"(2, 1)",O,O
1701839899.239866,1,1701839899.239867,0.00010204315185546875,1701839899.239969,"(0, 0)",X,
1701839899.239866,2,1701839899.239969,6.604194641113281e-05,1701839899.240035,"(2, 0)",O,
1701839899.239866,3,1701839899.240035,2.193450927734375e-05,1701839899.240057,"(2, 1)",X,
1701839899.239866,4,1701839899.240057,1.811981201171875e-05,1701839899.240075,"(1, 1)",O,
